cruise,date,location,Long. °N,Lat. °E,water depth [m],site,depth [m],salinity,sulfide [µM],Mn diss [µM] ,Mn part [µM],Fe diss [µM] ,Fe part [µM],W diss [nM],W part [nM],Mo diss [nM],Mo part [nM]
MSM 33,November 2013,Black Sea,43°41.9,32°30.9,2069,BS32,10,18.20,,0.01,,0.00,,0.187,,36.1,
RV Maria S. Merian,,,,,,,30,18.37,,0.00,,0.00,,0.175,,36.3,
,,,,,,,50,19.17,,0.00,,0.01,,0.164,,37.5,
Depth profiles are presented in Fig. 2 (also used in Fig. 10),,,,,,,70,20.08,,0.00,0.045,0.01,0.024,0.146,0.0066,37.9,0.0287  
,,,,,,,75,20.23,,0.00,,0.01,,0.138,,36.1,
,,,,,,,80,20.44,0.0,0.00,0.029,0.01,0.025,0.137,0.0045,36.7,0.0230  
,,,,,,,85,20.52,0.0,0.03,0.048,0.01,0.033,0.130,0.0094,38.1,0.0342  
,,,,,,,88,20.58,0.0,0.28,,0.02,,0.124,,34.8,
,,,,,,,92,20.68,0.0,1.46,0.007,0.03,0.029,0.153,0.0042,36.4,0.0253  
,,,,,,,96,20.75,0.0,2.75,0.005,0.05,0.032,0.179,0.0032,36.6,0.0314  
,,,,,,,100,20.85,0.0,3.97,0.016,0.06,0.025,0.198,0.0046,34.7,0.0533  
,,,,,,,105,20.91,0.0,5.30,,0.07,,0.218,,36.3,
,,,,,,,110,20.96,2.8,6.15,0.005,0.10,0.023,0.230,0.0038,35.6,0.0604  
,,,,,,,115,21.02,3.0,7.04,,0.13,,0.240,,33.8,
,,,,,,,120,21.06,3.8,7.52,0.002,0.15,0.021,0.253,0.0020,35.1,0.0822  
,,,,,,,130,21.18,4.0,8.30,,0.26,,0.279,,32.9,
,,,,,,,150,21.30,7.5,8.52,,0.32,,0.300,,31.9,
,,,,,,,250,21.71,62.5,7.04,,0.15,,0.213,,26.5,
,,,,,,,500,22.07,154.0,5.59,0.001,0.09,0.040,0.200,0.0028,18.2,0.1283  
,,,,,,,1000,22.29,307.2,4.64,,0.07,,0.194,,9.0,
,,,,,,,1500,22.33,345.2,4.61,,0.06,,0.210,,7.6,
,,,,,,,1800,22.33,361.0,4.44,,0.04,,0.215,,7.1,
,,,,,,,2038,22.34,355.5,4.50,0.001,0.04,0.056,0.221,0.0045,6.7,0.3388  
