,KO,name,gene_name
0,K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]","E1.1.1.1, adh"
1,K00002,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","AKR1A1, adh"
2,K00003,hom; homoserine dehydrogenase [EC:1.1.1.3],hom
3,K00004,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","BDH, butB"
4,K00005,gldA; glycerol dehydrogenase [EC:1.1.1.6],gldA
5,K00006,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],GPD1
6,K00007,dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11],dalD
7,K00008,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]","SORD, gutB"
8,K00009,mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],mtlD
9,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],iolG
10,K00011,AKR1B; aldehyde reductase [EC:1.1.1.21],AKR1B
11,K00012,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","UGDH, ugd"
12,K00013,hisD; histidinol dehydrogenase [EC:1.1.1.23],hisD
13,K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25],aroE
14,K00015,"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]","gyaR, GOR1"
15,K00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","LDH, ldh"
16,K00018,hprA; glycerate dehydrogenase [EC:1.1.1.29],hprA
17,K00019,"BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]","BDH1, bdhA"
18,K00020,"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","HIBADH, mmsB"
19,K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],HMGCR
20,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],HADH
21,K00023,phbB; acetoacetyl-CoA reductase [EC:1.1.1.36],phbB
22,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],mdh
23,K00025,MDH1; malate dehydrogenase [EC:1.1.1.37],MDH1
24,K00026,MDH2; malate dehydrogenase [EC:1.1.1.37],MDH2
25,K00027,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","ME2, sfcA, maeA"
26,K00028,E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39],E1.1.1.39
27,K00029,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","E1.1.1.40, maeB"
28,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],IDH3
29,K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","IDH1, IDH2, icd"
30,K00032,E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43],E1.1.1.43
31,K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","PGD, gnd, gntZ"
32,K00034,gdh; glucose 1-dehydrogenase [EC:1.1.1.47],gdh
33,K00035,gal; D-galactose 1-dehydrogenase [EC:1.1.1.48],gal
34,K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","G6PD, zwf"
35,K00037,AKR1C4; 3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225],AKR1C4
