,reaction,name
0,R00001,polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
1,R00002,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin
2,R00004,diphosphate phosphohydrolase; pyrophosphate phosphohydrolase; Diphosphate + H2O <=> 2 Orthophosphate
3,R00005,urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
4,R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating); 2-Acetolactate + CO2 <=> 2 Pyruvate
5,R00008,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming); Parapyruvate <=> 2 Pyruvate
6,R00009,hydrogen-peroxide:hydrogen-peroxide oxidoreductase; 2 Hydrogen peroxide <=> Oxygen + 2 H2O
7,R00010,"alpha,alpha-trehalose glucohydrolase; alpha,alpha-Trehalose + H2O <=> 2 D-Glucose"
8,R00011,Mn(II):hydrogen-peroxide oxidoreductase; 2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O
9,R00012,"GTP:GTP guanylyltransferase; 2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate"
10,R00013,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming); 2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2
11,R00014,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating); Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2
12,R00015,sucrose:sucrose 1'-beta-D-fructosyltransferase; sucrose:sucrose 1F-beta-D-fructosyltransferase; 2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose
13,R00017,ferrocytochrome-c:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O
14,R00018,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming); 2 Putrescine <=> sym-Homospermidine + Ammonia
15,R00019,hydrogen:ferredoxin oxidoreductase; reduced ferredoxin:H+ oxidoreductase; 2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin
16,R00021,L-glutamate:ferredoxin oxidoreductase (transaminating); 2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+
17,R00022,chitobiose N-acetylglucosaminohydrolase; Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine
18,R00023,hydroxylamine:NAD+ oxidoreductase; NADH:hyponitrite oxidoreductase; 2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+
19,R00024,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming); D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate"
20,R00025,ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming); Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O
21,R00026,cellobiose glucohydrolase; Cellobiose + H2O <=> 2 beta-D-Glucose
22,R00027,"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming); Benzoin <=> 2 Benzaldehyde"
23,R00028,maltose glucohydrolase; Maltose + H2O <=> 2 D-Glucose
24,R00029,thiosulfate:ferricytochrome-c oxidoreductase; 2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c
25,R00031,"1,2-benzenediol:oxygen oxidoreductase; Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine"
26,R00032,"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving); beta-Carotene + Oxygen <=> 2 Retinal"
27,R00033,thiamine:oxygen 5-oxidoreductase; Thiamine + Oxygen <=> Hydrogen peroxide + Thiamine aldehyde
28,R00034,Cyclobutadipyrimidine (in DNA) pyrimidine-lyase; Cyclobutadipyrimidine <=> 2 Pyrimidine 5'-deoxynucleotide
29,R00036,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming); 2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O
30,R00038,4-hydroxy-3-hexanone propanal-lyase (propanal-forming); 2 Propanal <=> 4-Hydroxyhexan-3-one
31,R00039,raffinose:raffinose 1F-alpha-D-galactosyltransferase; 2 Raffinose <=> Lychnose + Sucrose
32,R00041,long-chain-alcohol:oxygen oxidoreductase; 2 Long-chain alcohol + Oxygen <=> 2 Long-chain aldehyde + 2 H2O
33,R00042,4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating); 2 3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> 2 4-Hydroxyphenylacetate + 2 CO2
34,R00043,"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving); 1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene + Oxygen <=> 2 4-Hydroxy-3-methoxy-benzaldehyde"
35,R00044,columbamine:oxygen oxidoreductase (cyclizing); 2 Columbamine + Oxygen <=> 2 Berberine + 2 H2O
36,R00045,"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase; Oxygen + 2 3,4-Dihydroxy-L-phenylalanine <=> 2 Dopaquinone + 2 H2O"
37,R00047,"6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating); Oxygen + 6-Hydroxynicotinate + Reduced acceptor <=> 2,5-Dihydroxypyridine + CO2 + Acceptor + H2O"
38,R00048,(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase; (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate
39,R00049,"1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase; 2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose"
40,R00052,chloride:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O
41,R00053,digallate acylhydrolase; tannin acylhydrolase; Digallate + H2O <=> 2 Gallate
42,R00054,orsellinate-depside hydrolase; Lecanoric acid + H2O <=> 2 Orsellinate
43,R00055,inosine:oxygen 5'-oxidoreductase; 2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O
44,R00056,dinucleotide nucleotidohydrolase; Dinucleotide + H2O <=> 2 Mononucleotide
45,R00057,thiol:oxygen oxidoreductase; Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide
46,R00058,"catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase; Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O"
47,R00059,N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase; N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate
48,R00060,"Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific); Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O"
49,R00061,"sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific); Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O"
50,R00062,bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase; 2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide
