,predictions
AcetonemlongNapA,Mo
AchromarsenAioA,Mo
AchromarsenFdhNAD,Mo
AchromarsenNapA,Mo
AchromarsenTtrA,Mo
Achromdenit1FdhNAD,Mo
Achromdenit1NapA,Mo
AchromdenitTtrA,Mo
AchrominsoliFdhNAD,Mo
AchrominsoliNapA,Mo
AchrommarpFdhNAD,Mo
AchrommarpNapA,Mo
AchrommarpTtrA,Mo
AchromxyloTtrA,Mo
AcidicryptPsrA,Mo
AcidimultiAioA,Mo
AcidimultiPsrA,Mo
AcidocaenTtrA,Mo
AcidodefluvTtrA,Mo
AcidulibooneiFdhNAD,Mo
AcinetoschinNasA,Mo
ActibacpelagiNasA,Mo
ActinobacsuccinoFdhN,Mo
ActinobacsuccinoFdhNAD,Mo
ActinomadechinoNasC,Mo
ActinomadmacraNasC,Mo
ActinophytoryzaFdhNAD,Mo
ActinophytxinjianArrA,Mo
ActinoplanatraurNasC,Mo
ActinoplanbrasilFdhN,Mo
ActinoplanbrasilNasC,Mo
ActinoplanitaliFdhNAD,Mo
ActinopolyalbaNasC,Mo
AdlerequoNapA,Mo
AdlerequoPsrA,Mo
AeromondhakenFdhH,Mo
AeromondhakenNapA,Mo
Aeromonhydro1FdhH,Mo
AeromonhydroArrA,Mo
AeromonhydroNapA,Mo
AeromonsalmoniNapA,Mo
AeromonveronNapA,Mo
AeropycamiAioA,Mo
AeropycamiTtrA,Mo
AfipiabroomeFdhN,Mo
AgarialbusNapA,Mo
Aggregatiaphrophil1NapA,Mo
AggregatiaphrophilFdhH,Mo
AgitococlubriNasC,Mo
AgrobacalbertiAioA,Mo
AgrobactumeAioA,Mo
AlbidoinexpecAioA,Mo
AlbidoinexpecFdhNAD,Mo
Alcalfaec1AioA,Mo
Alcalfaec1FdhNAD,Mo
AlcalfaecTtrA,Mo
AlgorialkaliNasC,Mo
AlgorimannitolNasC,Mo
AliiarcofaeciNapA,Mo
AliivilogeTtrA,Mo
AliiviwodanTtrA,Mo
AlkaliehrliArrA,Mo
AlkaliehrliNasA,Mo
AlkaliehrliPsrA,Mo
AlkaliphilmetalArrA,Mo
AlkaliphiloremArrA,Mo
AlkalispirmobileArrA,Mo
AlkalispiroodontoArrA,Mo
AlliiroseosediminiFdhNAD,Mo
AllosalinalopnoreFdhNAD,Mo
AltererythroepoxiFdhNAD,Mo
AlysielcrassaFdhN,Mo
AmantiursilaNasA,Mo
AminiphilcircumFdhNAD,Mo
AminivibpyruvatFdhNAD,Mo
AminoaminovorAioA,Mo
AminoaminovorNapA,Mo
AmorphcoralAioA,Mo
AmphriatlanAioA,Mo
AmphriatlanFdhNAD,Mo
AmycolamediterrNasC,Mo
AmycolanigreFdhNAD,Mo
AmycolataiwanFdhNAD,Mo
AnabaencylindriNasC,Mo
AnabaenopcirculaNasC,Mo
AnaerobacalkaliArrA,Mo
AnaerobacarsenArrA,Mo
AnaerobacarsenFdhN,Mo
AnaerobacarsenTtrA,Mo
AnaerobrancalifArrA,Mo
AnaerobrancalifFdhNAD,Mo
AnaerobrangottsFdhNAD,Mo
AnaerolinthermoFdhNAD,Mo
AnaeromyxdehalNapA,Mo
AnaeromyxdehalTtrA,Mo
AnaerosporhongkongFdhH,Mo
AnaerosporhongkongNapA,Mo
AnaerovirgmultiArrA,Mo
AncylobacaquaFdhNAD,Mo
AncylobacrudonFdhNAD,Mo
AndrechitiniNasA,Mo
AneurinibacaneuriNasC,Mo
AneurinibacterrTtrA,Mo
AneurinibactyrosiniNasC,Mo
AnoxybacflaviNasC,Mo
Antarctohelio1NasA,Mo
AntarctohelioAioA,Mo
AphanizoflosNasC,Mo
ApibacadvenNasC,Mo
AquifexaeoliFdhN,Mo
AquimaratlanNapA,Mo
AquimarlaterNapA,Mo
AquimarmacroFdhNAD,Mo
AquimarmegaFdhNAD,Mo
AquimarmegaNapA,Mo
Aquitalmagnuso1NasA,Mo
AquitalmagnusoFdhN,Mo
ArabmassilNapA,Mo
ArabmassilTtrA,Mo
Archaefulg1TtrA,Mo
ArchaefulgFwdB,Mo
ArchaefulgPsrA,W
ArchaevenefiFdhN,Mo
ArchaevenefiFwdB,Mo
ArchangephyNapA,Mo
ArcoanaeroNapA,Mo
ArcocryaeroNapA,Mo
ArcoebronNapA,Mo
ArconitroFdhH,Mo
ArconitroTtrA,Mo
ArcotrophiNapA,Mo
ArdentmariFdhH,Mo
ArdentmariNapA,Mo
ArdentmariTtrA,Mo
ArenialgicoNapA,Mo
ArenilateriNapA,Mo
ArenitalluteaNapA,Mo
ArhodoaquaFdhNAD,Mo
ArhodoaquaTtrA,Mo
AromaromaTtrA,Mo
ArthroplatenNasC,Mo
AsacchcelaNapA,Mo
AsacchcelaPsrA,Mo
AsanoaferruFdhN,Mo
AtlantibachermTtrA,Mo
Azoacomm1NapA,Mo
AzoacommTtrA,Mo
AzoatoluArrA,Mo
AzoatoluclasNapA,Mo
AzohydrolataFdhNAD,Mo
AzonexfungiFdhN,Mo
AzonexhydrophilNasA,Mo
AzorhizocauliFdhN,Mo
AzorhizodoebereFdhN,Mo
AzospirbrasFdhN,Mo
AzospirbrasNapA,Mo
AzospirbrasTtrA,Mo
AzospirhaloAioA,Mo
AzospirhaloTtrA,Mo
AzospirhumiciNapA,Mo
Azospirlipo1FdhH,Mo
AzospirlipoAioA,Mo
AzospirlipoNapA,Mo
AzospirlipoTtrA,Mo
Azospirthio1FdhH,Mo
Azospirthio1NapA,Mo
AzospirthioTtrA,Mo
AzosporyzAioA,Mo
AzosporyzFdhN,Mo
AzosporyzTtrA,Mo
AzotobacvineNasA,Mo
AzovibrestriNapA,Mo
BacilbeveFdhN,Mo
BacilbevePsrA,Mo
BacilbeveTtrA,Mo
BacilcereusNasC,Mo
BacilgibsonNasC,Mo
BacilglyciniNasC,Mo
BacilintestiNasC,Mo
BacilmediterFdhN,Mo
BacilmethanolNasC,Mo
BacilniacinFdhN,Mo
BacilnovalFdhN,Mo
BaciloryziAioA,Mo
BaciloryziArrA,Mo
BaciloryziFdhN,Mo
BacilpersPsrA,Mo
BacilselenaArrA,Mo
BacilselenaPsr2,Mo
BacilselenaPsrA1,Mo
BacilselenaTtrA1,Mo
BacilselenaTtrA2,Mo
BacilseleniArrA,Mo
BacilseleniFdhN,Mo
BacilseleniPsrA,Mo
BacilseleniTtrA,Mo
BacilsubtPsrA,Mo
BacilsubtTtrA,Mo
BacilsubtilNasC,Mo
BalnelithoNapA,Mo
BasfiasucciniFdhNAD,Mo
BauldlitoralFdhNAD,Mo
BeggiaalbaFdhNAD,Mo
BeggiaalbaNasA,Mo
BeggialeptoNasA,Mo
BibertrehaNapA,Mo
BilowadswoNapA,Mo
BlastococcaggreFdhN,Mo
BlautiaschinFdhH,Mo
BordebronchNapA,Mo
BordebronchTtrA,Mo
BordebronchialiFdhNAD,Mo
BordehinziiFdhNAD,Mo
BordeparaNapA,Mo
BordeparaTtrA,Mo
BosealathyNapA,Mo
BoseathiooxiFdhN,Mo
BoseathiooxiNapA,Mo
BrachydenitrTtrA,Mo
BradymonsedimiNapA,Mo
BradyrhizocanariFdhN,Mo
BradyrhizoerythroFdhNAD,Mo
BreogcorruFdhH,Mo
BreogcorruTtrA,Mo
BrocadsapporFdhNAD,Mo
BrocadsinicaFdhNAD,Mo
BrocklithPsrA,Mo
BudvicaquaFdhN,Mo
BurkbonniNapA,Mo
BurkinsectNasA,Mo
BurkinsectiNapA,Mo
BurkmultiAioA,Mo
BurknovacalNasA,Mo
BurkoklaAioA,Mo
BurkplantariFdhN,Mo
BurkpseudoAioA,Mo
BurkvietAioA,Mo
ButtiaferrTtrA,Mo
ButtiagaviTtrA,Mo
CabalfortuitFdhN,Mo
CabalgrimmiFdhN,Mo
CabalhumiNasA,Mo
CabalhypogeNapA,Mo
CabaljiangAioA,Mo
CabaljiangFdhN,Mo
CabalperedAioA,Mo
CabaltelluriFdhNAD,Mo
CabaltelluriNapA,Mo
CabalturbanNapA,Mo
CabalturbanNasA,Mo
CaenispbisaTtrA,Mo
CaenispsaliTtrA,Mo
CaldanaeroviracetiFdhH,Mo
CalderimariFdhNAD,Mo
CalderimariTtrA,Mo
CaldiarchsubtFdhN,Mo
CaldiarchsubtTtrA,Mo
CaldilinaeroFdhH,Mo
CaldilinaeroTtrA,Mo
CaldimicrothioNapA,Mo
CaldinitroNapA,Mo
CaldinitroPsrA,Mo
CaldinitroTtrA,Mo
CaloramproteoFdhNAD,Mo
CaloranaerobacferriFdhNAD,Mo
CalothrixbrevissiNasC,Mo
CalothrixrhizosolNasC,Mo
CaminibacmediatlanFdhH,Mo
CaminibacmediatlanNapA,Mo
CampyconcFdhH,Mo
CampyconcNapA,Mo
CampyconcPsrA,Mo
CampyconcTtrA,Mo
CampycurvNapA,Mo
CampycurvPsrA,Mo
CampygeoTtrA1,Mo
CampygeoTtrA2,Mo
CampyhelvNapA,Mo
CampyhelvPsrA,Mo
CampyshowTtrA,Mo
CampysubantPsrA,Mo
CarbferrFdhN,Mo
CarbferrFdhNAD,Mo
CarbferrPsrA,Mo
CarbferrTtrA,Mo
CarbhydrFdhN,Mo
CarbhydrFdhNAD,Mo
CarbhydrPsrA,Mo
CarbhydrTtrA,Mo
CarboxydocelsporoTtrA,Mo
CarboxydocelthermautNapA,Mo
CatenovulagariNasA,Mo
CaulobacsegnisAioA,Mo
CavvibacpharyngoFdhNAD,Mo
CelereinatadiazotrophFdhH,Mo
Celeribacethan1NasA,Mo
CeleribacethanTtrA,Mo
CeleribacpersiNasA,Mo
CelluloalgicoNapA,Mo
CellulobaltiNapA,Mo
CetiapacifiNapA,Mo
CetobacsomerFdhNAD,Mo
ChelatodaegAioA,Mo
ChitinigtaiwanNasA,Mo
ChlorobchlorPsrA,Mo
ChloroblimniAioA,Mo
ChloroblimniPsrA,Mo
ChlorobphaeAioA,Mo
ChlorobphaePsrA,Mo
ChloroflexaggreAioA,Mo
ChloroflexaggreTtrA,Mo
ChloroflexauraAioA,Mo
ChloroflexauraTtrA,Mo
ChromobachaemoFdhN,Mo
ChromobacpisciFdhH,Mo
ChromobacpisciFdhN,Mo
ChromobacviolaFdhN,Mo
ChrysosporovalisporNasC,Mo
ChyrsioarsenArrA,Mo
ChyrsioarsenNapA,Mo
CiceribacliviAioA,Mo
CitroamalonPsrA,Mo
CitroamalonTtrA,Mo
CitrobraakPsrA,Mo
CitrobraakTtrA,Mo
Citrofreund1FdhH,Mo
Citrofreund1NapA,Mo
Citrofreund1TtrA,Mo
CitrofreundPsrA,Mo
CitropasteurNapA,Mo
CitropasteurPsrA,Mo
CitroportTtrA,Mo
CloacibacilevryFdhNAD,Mo
ClostridautoethanoFdhH,Mo
ClostridcarboxiFdhH,Mo
ClostridformicaFdhN,Mo
ClostridhydrogeniFdhH,Mo
ClostridljungFdhH,Mo
CocleimonflavaFdhNAD,Mo
CocleimonflavaNasA,Mo
CohaesibacmarisTtrA,Mo
CohnelpanacaNasC,Mo
CollimonarenaeNasA,Mo
CollimonpratenNasA,Mo
CollinselaerofaciFdhH,Mo
ComamoaquaNapA,Mo
ComamoaquaTtrA,Mo
ComamogranTtrA,Mo
ComamoterriNapA,Mo
ComamotestTtrA,Mo
ComamothioTtrA,Mo
CompetibacdenitrifiFdhN,Mo
ConfluentilipoNasA,Mo
ConsosalsiAioA,Mo
ConsosalsiFdhH,Mo
ConsosalsiFdhN,Mo
CosenmyxoPsrA,Mo
CosenmyxoTtrA,Mo
CricetibacosteoFdhH,Mo
CrinaliepipsaNasC,Mo
Cryptocurt1FdhH,Mo
Cryptocurt1FdhNAD,Mo
CryptocurtPsrA,Mo
CryptosporauranFdhNAD,Mo
CupriaalkaliphilFdhNAD,Mo
CupriaalkaliphilNapA,Mo
CupriaalkaliphilNasA,Mo
CupriabasilAioA,Mo
Cuprianecator1NapA,Mo
CuprianecatorFdhNAD,Mo
CupriaoxalatiNasA,Mo
CupriapinatuNapA,Mo
CupriataiwanNapA,Mo
CupriataiwanNasA,Mo
CylindrosperstagNasC,Mo
CystoferrugiNapA,Mo
CystofuscusNapA,Mo
DactylosporFdhN,Mo
DechloroagitTtrA,Mo
DechloroaromaNapA,Mo
DechlorodenitriNapA,Mo
DeferridesulfFdhNAD,Mo
DeferridesulfNapA,Mo
DeferridesulfPsrA1,Mo
DeferridesulfPsrA2,Mo
DeferridesulfTtrA,Mo
DefluvialbaAioA,Mo
DehalogenialkeniFdhN,Mo
DehalogenialkeniFdhNAD,Mo
DehalogeniformiFdhNAD,Mo
DehalogenilykanthFdhN,Mo
DeinococficusNasC,Mo
DeinococmisasNasC,Mo
DeinococphoeniNasC,Mo
DeinococreticulNasC,Mo
DelftacidTtrA,Mo
DelfttsurTtrA,Mo
DemosporactivaNasC,Mo
DenitroacetNapA,Mo
DenitroacetPsrA1,Mo
DenitroacetPsrA2,Mo
DenitroacetTtrA,Mo
DenitrobacdetoxiFdhH,Mo
DenitrobacdetoxiFdhNAD,Mo
DerxiagummoFdhn,Mo
DesulfahydrothermFdhN,Mo
DesulfahydrothermFdhNAD,Mo
DesulfainferFdhN,Mo
DesulfainferFdhNAD,Mo
DesulfainferTtrA,Mo
DesulfalgeothermiFdhNAD,Mo
DesulfalgibsonFdhN,Mo
DesulfalgibsonFdhNAD,Mo
DesulfatibacilaliphatiFdhNAD,Mo
DesulfatibacilalkeniFdhNAD,Mo
DesulfatiglaaniliFdhNAD,Mo
DesulfatirhabbutyratiFdhNAD,Mo
DesulfatitaltepidiFdhNAD,Mo
DesulfitialkaFdhNAD,Mo
DesulfitialkaPsrA,Mo
DesulfitochloPsrA,Mo
DesulfitochloTtrA,Mo
DesulfitodehaNapA,Mo
DesulfitodehaPsrA,Mo
DesulfitodehaTtrA,Mo
DesulfitodichlorArrA,Mo
DesulfitodichlorFdhN,Mo
DesulfitodichlorNapA,Mo
Desulfitohafn1ArrA,Mo
DesulfitohafnArrA,Mo
DesulfitohafnFdhN,Mo
DesulfitohafnPsr1,Mo
DesulfitohafnPsr2,Mo
DesulfitohafnTtrA,Mo
DesulfitometaTtrA,Mo
DesulfoacidPsrA,Mo
DesulfoacidTtrA,Mo
DesulfoacididurFdhH,Mo
DesulfoacididurFdhN,Mo
DesulfobacautotrophFdhN,Mo
DesulfobacautotrophFdhNAD,Mo
DesulfobacavacuoFdhNAD,Mo
DesulfobaccaacetoxiFdhNAD,Mo
DesulfobacutoluoFdhNAD,Mo
DesulfobuljaponFdhN,Mo
DesulfobulmediterNapA,Mo
DesulfocasulfexiNapA,Mo
DesulfococcmultiFdhNAD,Mo
DesulfococcoleoFdhNAD,Mo
DesulfocurvvexiFdhN,Mo
DesulfofabhansenFdhNAD,Mo
DesulfofarintricaFdhNAD,Mo
DesulfofunthermocisFdhNAD,Mo
DesulfofunthermosubtFdhNAD,Mo
DesulfofusglycoArrA,Mo
DesulfofusglycoFdhNAD,Mo
DesulfohaloretbaenFdhN,Mo
DesulfolacuPsrA,Mo
DesulfolunsponArrA,Mo
DesulfolunsponTtrA,Mo
DesulfomiapshFdhN,Mo
DesulfomiapshFdhNAD,Mo
DesulfomiapshTtrA,Mo
DesulfomtiedFdhN,Mo
DesulfomtiedNapA,Mo
DesulfomtiedPsrA,Mo
DesulfomtiedTtrA,Mo
DesulfonatrohydrogenFdhN,Mo
DesulfonatromagnPsrA,Mo
DesulfonatronlacusArrA,Mo
DesulfonatronospthioArrA,Mo
DesulfonatronospthioFdhNAD,Mo
DesulfonatronthioautoFdhN,Mo
DesulfonatronthiodisArrA,Mo
DesulfonatronthiosulfArrA,Mo
DesulfooriePsrA,Mo
DesulfopilaestArrA,Mo
DesulfopilaestFdhNAD,Mo
DesulfopilaestNapA,Mo
DesulfoplanformiciFdhN,Mo
DesulforhosignaArrA,Mo
DesulforhosignaFdhNAD,Mo
DesulforhosignaNapA,Mo
DesulforudaudaxFdhN,Mo
DesulfosomacaldarFdhN,Mo
DesulfosomacaldarFdhNAD,Mo
DesulfotigbaltiFdhNAD,Mo
DesulfotigphosphitoFdhNAD,Mo
DesulfotomaccarbFdhN,Mo
DesulfotomacruminFdhN,Mo
DesulfovafriPsrA,Mo
