gene name,#,KO,thrshld,score,E-value,KO definition,distance
AcetonemlongNapA,*,K02567,776.8,1062.2,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1472.0
AchromarsenAioA,*,K08356,724.13,1190.4,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1528.0
AchromarsenFdhNAD,*,K00123,858.47,1073.4,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1598.0
AchromarsenNapA,*,K02567,776.8,1470.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1540.0
AchromarsenTtrA,*,K08357,722.33,1484.0,0.0,tetrathionate reductase subunit A,1661.0
Achromdenit1FdhNAD,*,K00123,858.47,1077.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1589.0
Achromdenit1NapA,*,K02567,776.8,1464.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1525.0
AchromdenitTtrA,*,K08357,722.33,1495.3,0.0,tetrathionate reductase subunit A,1670.0
AchrominsoliFdhNAD,*,K00123,858.47,1084.1,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1585.0
AchrominsoliNapA,*,K02567,776.8,1467.4,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1547.0
AchrommarpFdhNAD,*,K00123,858.47,1075.4,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1592.0
AchrommarpNapA,*,K02567,776.8,1471.0,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1547.0
AchrommarpTtrA,*,K08357,722.33,1477.4,0.0,tetrathionate reductase subunit A,1677.0
AchromxyloTtrA,*,K08357,722.33,1483.8,0.0,tetrathionate reductase subunit A,1687.0
AcidicryptPsrA,*,K08352,591.5,772.4,4.0999999999999995e-233,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1440.0
AcidimultiAioA,*,K08356,724.13,1028.9,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1547.0
AcidimultiPsrA,*,K08352,591.5,773.0,2.8e-233,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1439.0
AcidocaenTtrA,*,K08357,722.33,1508.9,0.0,tetrathionate reductase subunit A,1678.0
AcidodefluvTtrA,*,K08357,722.33,1500.5,0.0,tetrathionate reductase subunit A,1682.0
AcidulibooneiFdhNAD,*,K22516,981.17,1156.3,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1567.0
AcidulibooneiFdhNAD,*,K00123,858.47,1098.6,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1567.0
AcinetoschinNasA,*,K00372,1068.0,1261.8,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1542.0
ActibacpelagiNasA,*,K00372,1068.0,1245.0,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1563.0
ActinobacsuccinoFdhNAD,*,K00123,858.47,987.1,6.8e-298,formate dehydrogenase major subunit [EC:1.17.1.9],1604.0
ActinomadechinoNasC,*,K00372,1068.0,1069.4,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1372.0
ActinophytoryzaFdhNAD,*,K00123,858.47,1018.5,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1621.0
ActinoplanbrasilFdhN,*,K00123,858.47,863.1,2e-260,formate dehydrogenase major subunit [EC:1.17.1.9],1728.0
ActinoplanitaliFdhNAD,*,K00123,858.47,1024.3,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1590.0
AdlerequoNapA,*,K02567,776.8,1057.1,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1536.0
AdlerequoPsrA,*,K08352,591.5,746.2,3.5000000000000003e-225,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1442.0
AeromondhakenFdhH,*,K22015,921.03,1302.8,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1452.0
AeromondhakenNapA,*,K02567,776.8,1496.8,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1534.0
Aeromonhydro1FdhH,*,K22015,921.03,1305.9,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1452.0
AeromonhydroNapA,*,K02567,776.8,1495.1,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1526.0
AeromonsalmoniNapA,*,K02567,776.8,1496.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1518.0
AeromonveronNapA,*,K02567,776.8,1491.5,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1524.0
AeropycamiAioA,*,K08356,724.13,1047.6,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1649.0
AeropycamiTtrA,*,K08357,722.33,785.6,6.3e-237,tetrathionate reductase subunit A,1784.0
AgarialbusNapA,*,K02567,776.8,1483.4,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1534.0
Aggregatiaphrophil1NapA,*,K02567,776.8,1434.1,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1565.0
AggregatiaphrophilFdhH,*,K22015,921.03,1274.3,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1440.0
AgitococlubriNasC,*,K00372,1068.0,1253.0,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1577.0
AgrobacalbertiAioA,*,K08356,724.13,1226.0,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1535.0
AgrobactumeAioA,*,K08356,724.13,1221.1,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1532.0
AlbidoinexpecAioA,*,K08356,724.13,1128.2,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1533.0
AlbidoinexpecFdhNAD,*,K00123,858.47,1073.7,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1614.0
Alcalfaec1AioA,*,K08356,724.13,1202.5,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1547.0
Alcalfaec1FdhNAD,*,K00123,858.47,1073.2,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1576.0
AlcalfaecTtrA,*,K08357,722.33,1471.1,0.0,tetrathionate reductase subunit A,1701.0
